,0
0,0.0021127639214486866
1,0.00020126906639750177
2,0.0001326683280984633
3,0.00011777798717093245
4,0.00011229338430737178
5,0.00010813687775441827
6,0.00010552020731999062
7,0.00010207930201865886
8,0.00010193365383081677
9,9.813826430342917e-05
10,9.662142941872464e-05
11,9.734949674865621e-05
12,9.470394772056457e-05
13,9.358441748001588e-05
14,9.107551241584735e-05
15,9.090199288390183e-05
16,8.866165664746326e-05
17,8.720407950505265e-05
18,8.662130228345888e-05
19,8.537120207830731e-05
20,8.345835591662354e-05
21,8.272390676240395e-05
22,8.064100867081753e-05
23,8.066955858683759e-05
24,7.975651476839218e-05
25,7.873655759382189e-05
26,7.954100604970371e-05
27,7.756032163201617e-05
28,7.727772450213206e-05
29,7.66462405181113e-05
30,7.59703284095785e-05
31,7.524752765155181e-05
32,7.339181307656714e-05
33,7.516160840123839e-05
34,7.248635888751188e-05
35,7.298122587437946e-05
36,7.237288268576983e-05
37,7.110149489231297e-05
38,7.143266568451531e-05
39,6.850387408631615e-05
40,6.987865824952506e-05
41,6.899653652196856e-05
42,6.996375338134267e-05
43,6.894892532353282e-05
44,6.85961425204348e-05
45,6.788788045384252e-05
46,6.656932851262225e-05
47,6.58987253328454e-05
48,6.788037839690271e-05
49,6.546989957015412e-05
50,6.461009495987707e-05
51,6.567739755197089e-05
52,6.460229427185308e-05
53,6.501926294522632e-05
54,6.49771043267112e-05
55,6.38722104275943e-05
56,6.263368139473206e-05
57,6.231760355492723e-05
58,6.36492554417366e-05
59,6.13064663736851e-05
60,6.072548709067697e-05
61,6.161110892678315e-05
62,6.161904379420772e-05
63,6.101675240464373e-05
64,6.0048946701690645e-05
65,5.90807539502854e-05
66,5.911889411083755e-05
67,6.089250170438183e-05
68,5.983352105147489e-05
69,5.980762629603804e-05
70,5.882043769842209e-05
71,5.9080340416556614e-05
72,5.821686315424425e-05
73,5.9182840356056305e-05
74,5.8445716370736366e-05
75,5.7181238530293926e-05
76,5.725602054861811e-05
77,5.828196963087722e-05
78,5.685913200805806e-05
79,5.7011404987891205e-05
80,5.644814795126107e-05
81,5.621315345885226e-05
82,5.65292304058533e-05
83,5.5662347225248645e-05
84,5.6402904437565456e-05
85,5.621048561204477e-05
86,5.6219333522144776e-05
87,5.494908409877968e-05
88,5.433851783982383e-05
89,5.522332122921633e-05
90,5.49741903115159e-05
91,5.49140318056764e-05
92,5.523611073512657e-05
93,5.4776364273802365e-05
94,5.440248987439849e-05
95,5.477669391836127e-05
96,5.317446729039119e-05
97,5.465812563941631e-05
98,5.3843741751803404e-05
99,5.28784113479784e-05
100,5.333287083865661e-05
101,5.365309252004189e-05
102,5.292446316925907e-05
103,5.226137005435826e-05
104,5.260373644838433e-05
